group,dockq_wave,H1245_ips,qs_best,H1245_ics,qs_global,oligo_gdtts,H1245_ilddt,H1245_lddt,H1245_rmsd,tm_score,oligo_gdtha,dockq_ave
QA051_2,0.8592680000000001,0.536922,1.567351,0.6997209999999999,1.50797,0.12182700000000002,0.14666700000000002,0.0016580000000000028,255.078008,0.21986199999999997,0.031016999999999996,0.8592680000000001
QA393_2,1.3513540000000002,0.881194,2.0340749999999996,1.2428460000000001,2.0696380000000003,0.22049200000000008,0.6165200000000001,0.237958,427.164143,0.2082750000000001,0.11478200000000001,1.3513540000000002
QA264_2,0.2273259999999999,0.10983699999999999,0.2774959999999999,0.440418,0.28487699999999994,0.052057000000000006,0.59195,0.18469999999999998,7.839385000000002,0.02501199999999999,0.06007800000000002,0.2273259999999999
QA345_2,0.8743139999999999,0.5512500000000001,1.59947,0.683788,1.5366650000000002,0.12868600000000008,0.15810500000000002,0.003830000000000007,289.33119,0.23269399999999996,0.038885,0.8743139999999999
QA164_2,1.3668940000000003,0.94478,2.309786,1.2415539999999998,2.243602,0.39713,0.6413919999999999,0.221327,409.832703,0.35983499999999996,0.299775,1.3668940000000003
QA312_2,0.7178410000000001,0.48957500000000004,1.3032540000000001,0.501757,1.245982,0.17833700000000002,0.086051,0.008050000000000014,224.89875999999998,0.23778200000000002,0.129686,0.7178410000000001
QA212_2,1.3837860000000002,0.4703879999999999,2.128816,1.3369030000000002,2.0748879999999996,0.3249629999999999,0.7173919999999998,0.39997800000000006,421.759279,0.2752569999999999,0.21248200000000003,1.3837860000000002
QA273_2,1.444936,0.9505410000000001,2.3958629999999994,1.368204,2.351099,0.2959339999999999,0.6467660000000001,0.15131300000000003,422.92949799999997,0.341491,0.148536,1.444936
QA337_2,1.3710699999999998,0.944345,2.331095,1.2173019999999999,2.274094,0.374338,0.677213,0.2522190000000001,435.19075200000003,0.3428979999999999,0.284434,1.3710699999999998
QA446_2,0.6322469999999999,0.559081,1.2019579999999999,0.48403099999999993,1.142158,0.187574,0.12061500000000001,0.020698000000000036,227.52426499999999,0.24169900000000005,0.11564500000000003,0.6322469999999999
QAmean_plddt_2,0.8787920000000001,0.563166,1.599886,0.7106469999999999,1.539857,0.11272600000000006,0.154343,0.002818000000000005,282.85387299999996,0.223047,0.02435899999999999,0.8787920000000001
QAiptm_2,0.693007,0.637065,1.289936,0.5526690000000001,1.277698,0.21470600000000004,0.146129,0.021324000000000037,236.47888899999998,0.2698290000000001,0.138659,0.693007
QAiptm+ptm_2,0.693007,0.637065,1.289936,0.5526690000000001,1.277698,0.21470600000000004,0.146129,0.021324000000000037,236.47888899999998,0.2698290000000001,0.138659,0.693007
QA029_2,1.4632049999999996,0.8129549999999999,2.326491,1.35657,2.282102,0.26117100000000004,0.691631,0.17527000000000006,536.488209,0.311259,0.11197499999999998,1.4632049999999996
QA148_2,0.011636000000000021,0.04224200000000003,0.020242000000000003,0.041393000000000006,0.03601400000000006,0.01106600000000002,0.037043000000000006,0.04175100000000001,1.2935840000000003,0.007430000000000014,0.013949999999999997,0.011636000000000021
QA080_2,1.231563,0.8665939999999999,1.8957019999999998,1.252282,1.9586739999999998,0.257924,0.843012,0.587299,377.35674199999994,0.225964,0.165091,1.231563
QA319_2,1.424215,0.850759,2.328897,1.36225,2.273079,0.22641000000000014,0.6949179999999998,0.129419,384.93637,0.29949899999999996,0.109431,1.424215
QA272_2,0.8787920000000001,0.563166,1.599886,0.7106469999999999,1.539857,0.11272600000000006,0.154343,0.002818000000000005,282.85387299999996,0.223047,0.02435899999999999,0.8787920000000001
QA443_2,1.416162,0.6064609999999999,1.6623789999999998,1.2808929999999998,1.6140269999999999,0.18900100000000003,0.6036410000000001,0.15924299999999997,478.881939,0.2101260000000001,0.08851799999999999,1.416162
QA217_2,1.4632049999999996,0.8129549999999999,2.326491,1.35657,2.282102,0.26117100000000004,0.691631,0.17527000000000006,536.488209,0.311259,0.11197499999999998,1.4632049999999996
QA207_2,0.6313939999999999,0.5159060000000001,1.19723,0.473066,1.136623,0.188069,0.11293500000000001,0.015883000000000026,232.307162,0.24896600000000008,0.11409300000000001,0.6313939999999999
QA476_2,1.386818,0.731798,1.6060759999999998,1.241336,1.577732,0.20711900000000008,0.642193,0.23975700000000005,467.94273000000004,0.21129900000000007,0.10523400000000001,1.386818
QA122_2,1.2478289999999999,0.8295629999999999,2.007929,1.1360029999999999,1.9667379999999999,0.345587,0.6862389999999999,0.05480099999999996,330.10760200000004,0.3894820000000001,0.243877,1.2478289999999999
QA114_2,0.709956,0.3978730000000001,1.12177,0.618914,1.089085,0.132745,0.294365,0.13126000000000002,266.67047099999996,0.15177699999999997,0.07128799999999999,0.709956
QA050_2,1.2868860000000002,0.999256,2.216599,1.1775699999999998,2.1520149999999996,0.34064600000000006,0.5923419999999999,0.03952899999999999,334.32101500000005,0.37460400000000005,0.264091,1.2868860000000002
QA171_2,1.25545,0.5628990000000001,1.4520909999999998,1.3135439999999998,1.492108,0.226752,0.9355939999999999,0.30052999999999996,330.971487,0.17471599999999998,0.14794700000000002,1.25545
QA110_2,0.002126999999999999,0.0001279999999999967,0.0,0.005201999999999998,8.000000000000015e-06,0.00012500000000000022,0.019551000000000006,0.04015800000000001,0.006272000000000011,7.400000000000013e-05,0.00040999999999999495,0.002126999999999999
QA314_2,1.4272410000000002,0.818361,2.4279779999999995,1.3812829999999998,2.3645549999999997,0.23817800000000008,0.5888019999999998,0.03423099999999999,355.91883,0.3279949999999999,0.110402,1.4272410000000002
QA331_2,0.612867,0.3840610000000001,1.1518599999999999,0.44952600000000004,1.108166,0.09786500000000001,0.100368,0.019473000000000008,199.94806199999996,0.15673399999999998,0.028529999999999986,0.612867
QA425_2,0.8465990000000001,0.34029,1.064913,0.6449189999999999,1.039938,0.11986200000000007,0.210549,0.19677100000000006,339.41417099999995,0.1467810000000001,0.047750000000000015,0.8465990000000001
QA471_2,1.349383,0.8452390000000001,2.1397989999999996,1.311738,2.2007399999999997,0.28036199999999994,0.767236,0.49336100000000005,403.27173899999997,0.22601,0.149886,1.349383
QA188_2,0.859912,0.7656360000000001,1.522618,0.5940099999999999,1.459849,0.274363,0.154413,0.07209100000000006,354.83910900000006,0.31708100000000006,0.182446,0.859912
QA300_2,1.092607,0.6152309999999999,1.6673780000000002,0.866839,1.635664,0.298291,0.7150189999999998,0.23500699999999997,314.016407,0.27474999999999994,0.24765700000000002,1.092607
QAptm_2,0.6743870000000001,0.629001,1.262258,0.524335,1.202458,0.21176600000000004,0.126445,0.02120200000000004,235.47805699999998,0.2666590000000001,0.13524300000000003,0.6743870000000001
